Year,Kolkata,Haldia,Paradip,Vishakhapatnam,Ennore,Chennai,Tuticorin,Cochin,New Mangalore,Mormugoa,J.L.Nehru,Mumbai,Kandla,All Ports
2004-05,3770,8395,11049,12242,38871,9630,5280,8506,15569,17084,12782,5993,8434,9371
2005-06,3984,8755,11316,10558,33614,10378,5392,7778,15057,16834,16150,6314,8700,9543
2006-07,4490,8770,11795,10868,35113,10165,5051,8282,13080,17799,16727,4857,9843,10326
2007-08,3193,8353,11181,10613,35260,10032,5474,10881,12664,10332,18489,4519,11216,9440
2008-09,3027,7732,12635,11171,28424,10778,5817,10599,13645,6290,20344,5717,13107,9669
2009-10,1917,6243,13853,10484,21665,11428,6934,11089,13896,5002,21563,6122,13549,9215
2010-11,2253,6563,14243,10334,17669,10984,7035,11752,14211,4409,20393,6042,14137,9140
2011-12,2503,6728,15995,10704,27505,10352,6733,15784,13957,10530,19227,6476,14272,10575
2012-13,2762,6078,16625,10641,27741,12046,7452,15878,15921,11484,23319,8709,15728,11812
2013-14,2963,6130,18179,10925,22357,14268,9633,15881,16314,10018,23014,7057,15729,12179
2014-15,3084,6802,17736,10640,22613,14464,10468,16906,19856,12272,21310,11055,15159,12993
2015-16,3201,9126,26965,17179,31106,18976,13619,20962,16165,21542,23792,18020,16538,16471
2016-17,6080,12537,30245,16823,26235,19220,13612,23539,17094,30414,23897,20915,18235,19080
2017-18,6962,13832,33440,17592,28456,19113,15557,28143,16378,24948,22526,22996,22903,20581
2018-19,7765,15083,36030,18281,27678,21001,19494,30150,18126,18685,25847,25941,21373,21846
2019-20,7174,15192,32001,20032,26851,20340,19334,31258,19140,19944,28296,25608,21109,21914
2020-21,8210,14243,30224,17238,23945,20331,19302,30915,19048,24305,27711,23659,10467,19171
