Year,Kolkata,Haldia,Paradip,Vishakhapatnam,Ennore,Chennai,Tuticorin,Cochin,New Mangalore,Mormugoa,J.L.Nehru,Mumbai,Kandla,All Ports
2004-05,0.4,1.36,0.75,0.77,0.07,0.93,0.51,0.46,0.79,2.37,0.77,0.81,1.74,0.96
2005-06,0.4,2.15,1.04,1.03,0.19,0.65,0.73,0.57,0.78,2.11,0.86,1,1.66,1.11
2006-07,0.43,1.92,1.06,0.93,0.13,0.58,1.24,0.58,0.64,2.53,0.56,1,2.68,1.2
2007-08,0.56,2.86,2.97,1.1,0.3,1.56,1.24,0.6,0.63,2.21,0.83,0.96,2.64,1.55
2008-09,0.66,3.38,2.32,1.28,0.27,1.39,1.09,0.7,0.65,1.77,0.95,1.41,2.62,1.63
2009-10,1.31,4.39,6.3,1.9,0.37,1.35,1.36,0.85,0.81,3.46,0.98,1.06,2.6,2.16
2010-11,1.23,3.73,5.04,2.81,0.65,1.61,1.29,1.03,0.59,4.07,1.51,1.23,3.32,2.32
2011-12,0.77,2.54,3.69,2.84,0.76,1.16,1.91,1.05,0.79,2.94,1.13,1.37,3.74,2.05
2012-13,0.61,2.29,1.65,2.5,1.33,0.8,1.31,1.09,1.04,1.62,1.31,1.62,3.58,1.79
2013-14,0.61,2.29,1.65,2.5,1.33,0.8,1.31,1.09,1.04,1.62,1.31,1.62,3.58,1.79
2014-15,0.71,1.43,4.11,2.59,2.51,0.41,1.07,0.81,0.6,1.61,0.8,1.69,2.52,1.61
2015-16,0.5,0.66,2.05,1.47,4.73,0.44,1.33,0.66,0.76,1.38,1.17,1.27,1.98,1.31
2016-17,0.57,2.49,2.47,1.22,0.96,0.38,1.8,0.48,0,1.67,0.77,0.46,2.02,1.27
2017-18,0.62,3.15,0.87,2.37,0.57,0.86,1.13,0.43,1.16,1.31,0.92,0.96,1.9,1.39
2018-19,0.46,2.72,0.3,1.29,0.18,0.15,0.68,0.53,1.1,1.24,0.82,1.07,2.02,1.1
2019-20,0.7,2.96,0.64,0.05,0.12,0,0.65,0.48,1.26,1.21,0.77,0.16,1.85,0.95
2020-21,0.51,2.71,0.26,0.05,0.08,0,0.5,0.64,1.09,1.26,0.91,0.1,2.81,1.04
