Year,Kolkata,Haldia,Paradip,Vishakhapatnam,Ennore,Chennai,Tuticorin,Cochin,New Mangalore,Mormugoa,J.L.Nehru,Mumbai,Kandla,All Ports
2004-05,9.95,36.26,30.1,50.15,9.48,43.81,15.81,14.1,33.89,30.66,32.81,35.19,41.55,383.75
2005-06,10.8,42.34,33.11,55.8,9.16,47.25,17.14,13.89,34.45,31.69,37.84,44.19,45.91,423.57
2006-07,12.6,42.45,38.52,56.39,10.71,53.41,18,15.26,32.04,34.24,44.82,52.36,52.98,463.8
2007-08,13.74,43.59,42.44,64.6,11.56,57.15,21.48,15.81,36.02,35.13,55.84,57.04,64.92,519.31
2008-09,12.43,41.79,46.41,63.91,11.5,57.49,22.01,15.49,36.69,41.68,57.3,51.88,72.22,530.8
2009-10,13.05,33.38,57.01,65.5,10.7,61.06,23.79,17.43,35.53,48.85,60.76,54.54,79.5,561.09
2010-11,12.54,35.01,56.04,68.04,11,61.46,25.73,17.87,31.55,50.06,64.32,54.59,81.88,570.09
2011-12,12.23,31.01,54.25,67.42,55.71,14.96,28.1,20.09,32.94,39.05,65.73,56.19,82.5,560.19
2012-13,11.84,28.08,56.55,59.04,17.89,53.4,28.26,19.85,37.04,17.74,64.49,58.04,93.62,545.83
2013-14,12.87,28.51,68,58.5,27.34,51.11,28.64,20.89,39.37,11.74,62.33,59.18,87.01,555.49
2014-15,15.28,31.01,71.01,58,30.25,52.54,32.41,21.6,36.57,14.71,63.8,61.66,92.5,581.34
2015-16,16.78,33.51,76.4,57.03,32.21,50.06,36.85,22.1,35.58,20.78,64.03,61.12,99.46,605.89
2016-17,16.81,34.14,88.96,61.02,30.02,50.21,38.46,25.01,39.94,33.18,62.15,63.13,105.44,648.47
2017-18,17.39,40.5,102.03,63.54,30.45,51.88,36.58,29.14,42.06,26.9,66,62.9,110.1,679.47
2018-19,18.55,45.21,109.3,65.3,34.5,53.01,34.34,32.02,42.51,17.68,70.71,60.63,115.4,699.16
2019-20,17.3,46.68,112.69,72.72,31.75,46.76,36.08,34.04,39.15,16.02,68.45,60.7,122.61,704.95
2020-21,15.9,45.47,114.55,69.84,25.89,43.55,31.79,31.5,36.5,21.99,64.81,53.32,117.57,672.68
