Year,Kolkata,Haldia,Paradip,Vishakhapatnam,Ennore,Chennai,Tuticorin,Cochin,New Mangalore,Mormugoa,J.L.Nehru,Mumbai,Kandla,All Ports
2004-05,101.53,106.33,77.18,101.01,79,104.68,100.06,90.97,111.85,107.58,99.12,82.03,92.33,96.54
2005-06,85.71,100.33,64.42,101.55,70.46,96.82,83.41,71.78,90.66,107.42,104.82,101.01,99.8,92.85
2006-07,70.39,97.59,68.79,96.39,82.38,106.82,87.59,75.73,77.58,114.13,88.49,99.92,85.18,89.86
2007-08,72.09,93.34,75.79,105.64,88.92,107.12,103.52,55.73,82.8,106.29,102.76,112.5,102.24,95.55
2008-09,61.35,89.49,65.37,102.7,71.88,103.12,96.49,54.6,83.01,126.11,98.86,104.39,92.54,90.57
2009-10,82.08,71.48,74.52,105.19,66.88,85.61,100.3,57.39,80.38,131.85,94.94,124.81,93.53,90.98
2010-11,76.7,69.05,73.25,104.79,35.48,77.09,95.16,43.61,69.23,119.47,100.5,122.59,94.21,85.07
2011-12,71.35,61.1,67.56,101.64,179.71,17.98,84.28,47.99,64.63,93.2,102.7,126.18,90.44,80.43
2012-13,69.1,60.07,55.28,87.68,57.69,62.4,84.76,44.44,48.24,48.73,97.89,130.33,100.43,73.27
2013-14,75.09,57.31,62.5,65.79,88.19,59.4,68.09,42.07,50.62,32.03,94.61,132.9,85.04,69.39
2014-15,72.43,62.33,59.27,59.95,81.76,61.07,72.76,43.49,47.02,33.62,80.38,138.47,76.17,66.7
2015-16,79.53,50.85,60.17,52.93,71.57,53.57,62.18,44.49,45.75,42.58,71.64,123.9,75.89,62.76
2016-17,64.14,48.85,62.02,55.1,52.67,53.74,58.36,44.21,45.58,66.3,69.54,96.63,70.17,60.84
2017-18,55.08,79.41,42.69,48.47,36.25,38.72,38.57,39.11,42.92,42.7,55.93,79.62,43.48,46.82
2018-19,58.76,88.65,45.73,49.81,37.91,39.56,30.81,40.74,43.38,27.89,50.92,76.75,43.2,46.18
2019-20,54.8,91.53,45.26,54.2,34.89,34.64,32.37,43.31,37.38,25.27,49.29,76.84,45.9,45.93
2020-21,50.36,89.15,46,52.05,28.45,32.26,28.52,40.08,34.85,34.68,46.67,67.5,44.02,43.83
